KeepAliveTag_SourceTimestamp,KeepAliveTag_Value,Robot1_Value_Compliant4,Robot1_Value_NonCompliant4,Robot1_Value_Joint5RevTotal,Robot1_Value_NonCompliant3,Robot1_Value_Joint3MaintHrs,Robot1_Value_NonCompliant1,Robot1_Value_Joint4Posn,Robot1_Value_Joint4RevTotal,Robot1_Value_Joint4MaintHrs,Robot1_Value_Joint5Posn,Robot1_Value_RobotState,Robot1_Value_LED_R,Robot1_Value_Joint1Posn,Robot1_Value_Joint3RevTotal,Robot1_Value_Gripper,Robot1_Value_Joint1MaintHrs,Robot1_Value_Joint2MaintHrs,Robot1_Value_Joint3Posn,Robot1_Value_Joint6MaintHrs,Robot1_Value_DistanceTravelled,Robot1_Value_LED_G,Robot1_Value_Compliant2,Robot1_Value_LED_B,Robot1_Value_Speed,Robot1_Value_Joint1RevTotal,Robot1_Value_Joint2Posn,Robot1_Value_Joint2RevTotal,Robot1_Value_Compliant1,Robot1_Value_Compliant3,Robot1_Value_NonCompliant2,Robot1_Value_Joint6Posn,Robot1_Value_BitRegister,Robot1_Value_Joint5MainHrs,Robot1_Value_Watchdog,Robot1_Value_Joint6RevTotal,Robot1_SourceTimestamp,source-aio-instance,EventProcessedUtcTime,PartitionId,EventEnqueuedUtcTime,PPM_line_1,PPM_line_2,PPM_line_3,PPM_line_4
13:28.4,"363,249",FALSE,FALSE,10.42869,FALSE,0,TRUE,92.78815,,0,-96.39366,2,85,-203.02754,8.6009445,TRUE,0,0,87.61804,0,"56,043,964",85,FALSE,85,0,,0.28437608,10.42869,FALSE,FALSE,FALSE,-31.536701,"12,784",0,"363,249",,13:29.0,,,,,5,5,5,5
13:29.4,"363,250",FALSE,FALSE,10.447193,FALSE,0,TRUE,90.888596,,0,-102.49029,2,85,-205.20477,8.625317,TRUE,0,0,79.75843,0,"56,043,992",85,FALSE,85,0,,6.2265515,10.447193,FALSE,FALSE,FALSE,-35.0316,"12,784",0,"363,250",,13:29.9,,,,,5,5,5,5
13:30.4,"363,251",FALSE,FALSE,10.458532,FALSE,0,TRUE,89.00222,,0,-106.73289,2,85,-206.68727,8.641262,TRUE,0,0,73.69593,0,"56,044,010",85,FALSE,85,0,,10.535636,10.458532,TRUE,FALSE,FALSE,-38.083313,"12,784",0,"363,251",,13:30.9,,,,,5,5,5,5
13:31.4,"363,252",TRUE,FALSE,10.461548,FALSE,0,TRUE,88.55877,,0,-107.56802,2,85,-206.97644,8.64563,TRUE,0,0,72.425446,0,"56,044,015",85,FALSE,85,0,,11.403132,10.461548,FALSE,FALSE,FALSE,-38.758312,"12,784",0,"363,252",,13:31.9,,,,,5,5,5,5
13:32.4,"363,253",FALSE,FALSE,10.4616,FALSE,0,TRUE,88.60627,,0,-107.57099,2,85,-206.97902,8.64596,TRUE,0,0,72.56442,0,"56,044,015",85,TRUE,85,0,,11.409924,10.4616,FALSE,FALSE,FALSE,-38.61369,"12,784",0,"363,253",,13:32.9,,,,,5,5,5,5
13:33.4,"363,254",FALSE,FALSE,10.461972,FALSE,0,TRUE,89.141754,,0,-107.60574,2,85,-206.97852,8.650402,TRUE,0,0,74.41023,0,"56,044,015",85,FALSE,85,0,,11.255439,10.461972,FALSE,FALSE,FALSE,-36.83397,"12,784",0,"363,254",,13:33.9,,,,,5,5,5,5
13:34.3,"363,255",FALSE,FALSE,10.462447,FALSE,0,TRUE,90.477425,,0,-107.616234,2,85,-206.97981,8.661908,TRUE,0,0,78.767944,0,"56,044,015",85,FALSE,85,0,,11.102912,10.462447,FALSE,TRUE,FALSE,-32.428116,"12,784",0,"363,255",,13:34.9,,,,,5,5,5,5
13:35.3,"363,256",FALSE,FALSE,10.463141,FALSE,0,TRUE,92.267975,,0,-107.47154,2,85,-206.99039,8.678402,TRUE,0,0,84.18346,0,"56,044,015",85,FALSE,85,0,,11.347291,10.463141,FALSE,FALSE,FALSE,-26.491076,"12,784",0,"363,256",,13:35.9,,,,,5,5,5,5
13:36.3,"363,257",FALSE,FALSE,10.465279,FALSE,0,TRUE,94.052216,,0,-107.155876,2,85,-206.99042,8.6922,TRUE,0,0,89.1505,0,"56,044,015",85,FALSE,85,0,,12.116183,10.465279,FALSE,FALSE,FALSE,-20.49009,"12,784",0,"363,257",,13:36.9,,,,,5,5,5,5
13:37.3,"363,258",FALSE,FALSE,10.468828,FALSE,0,TRUE,95.77083,,0,-106.66938,2,85,-206.99124,8.70445,TRUE,0,0,93.56074,0,"56,044,015",85,FALSE,85,0,,13.394267,10.468828,FALSE,FALSE,FALSE,-14.570072,"12,784",0,"363,258",,13:37.9,,,,,5,5,5,5
13:38.3,"363,259",FALSE,FALSE,10.472873,FALSE,0,TRUE,97.256905,,0,-106.09091,2,85,-206.99179,8.713621,TRUE,0,0,97.09275,0,"56,044,015",85,FALSE,85,0,,14.970786,10.472873,FALSE,FALSE,FALSE,-9.279019,"12,784",0,"363,259",,13:38.9,,,,,5,5,5,5
13:39.4,"363,260",FALSE,FALSE,10.475294,FALSE,0,TRUE,97.83614,,0,-105.81852,2,85,-206.9918,8.71791,TRUE,0,0,98.405624,0,"56,044,015",85,FALSE,85,0,,15.721868,10.475294,FALSE,FALSE,FALSE,-7.1575065,"12,784",0,"363,260",,13:40.0,,,,,5,5,5,5
13:40.4,"363,261",FALSE,FALSE,10.475749,FALSE,0,TRUE,97.955574,,0,-105.76303,2,85,-206.99161,8.718644,TRUE,0,0,98.66971,0,"56,044,015",85,FALSE,85,0,,15.885962,10.475749,FALSE,FALSE,FALSE,-6.7187567,"12,784",0,"363,261",,13:41.0,,,,,5,5,5,5
13:41.4,"363,262",FALSE,FALSE,10.476254,FALSE,0,TRUE,97.91829,,0,-105.631,2,85,-207.12274,8.719323,TRUE,0,0,99.0096,0,"56,044,017",85,FALSE,85,0,,15.62585,10.476254,FALSE,FALSE,FALSE,-6.6457796,"12,784",0,"363,262",,13:42.0,,,,,5,5,5,5
13:42.4,"363,263",TRUE,FALSE,10.480502,FALSE,0,TRUE,97.70802,,0,-104.88956,2,85,-207.87622,8.724865,TRUE,0,0,100.908936,0,"56,044,030",85,TRUE,85,0,,14.176703,10.480502,TRUE,FALSE,FALSE,-6.277342,"12,784",0,"363,263",,13:43.0,,,,,5,5,5,5
13:43.4,"363,264",FALSE,FALSE,10.48866,FALSE,0,TRUE,97.066124,,0,-103.06191,2,85,-209.79022,8.735239,TRUE,0,0,105.13866,0,"56,044,059",85,FALSE,85,0,,10.838604,10.48866,FALSE,FALSE,FALSE,-5.5986414,"12,784",0,"363,264",,13:44.0,,,,,5,5,5,5
13:44.4,"363,265",FALSE,FALSE,10.500309,FALSE,0,TRUE,95.945076,,0,-100.46438,2,85,-212.59688,8.749207,TRUE,0,0,110.155235,0,"56,044,096",85,FALSE,85,0,,6.6168323,10.500309,FALSE,TRUE,FALSE,-5.0869145,"12,784",0,"363,265",,13:44.9,,,,,5,5,5,5
13:45.4,"363,266",FALSE,FALSE,10.510947,FALSE,0,TRUE,94.626755,,0,-97.75935,2,85,-215.5958,8.761007,TRUE,0,0,114.37754,0,"56,044,130",85,FALSE,85,0,,2.7956972,10.510947,FALSE,FALSE,FALSE,-4.938148,"12,784",0,"363,266",,13:45.9,,,,,5,5,5,5
13:46.4,"363,267",FALSE,FALSE,10.523824,FALSE,0,TRUE,92.62493,,0,-93.85633,2,85,-219.97755,8.774142,TRUE,0,0,119.047775,0,"56,044,171",85,FALSE,85,0,,-1.8329842,10.523824,FALSE,FALSE,FALSE,-5.141388,"12,784",0,"363,267",,13:46.9,,,,,5,5,5,5
13:47.4,"363,268",FALSE,FALSE,10.535308,FALSE,0,TRUE,90.4303,,0,-89.5474,2,85,-224.81638,8.784742,TRUE,0,0,122.8174,0,"56,044,210",85,FALSE,85,0,,-5.960883,10.535308,FALSE,FALSE,FALSE,-5.608115,"12,784",0,"363,268",,13:47.9,,,,,5,5,5,5
13:48.3,"363,269",FALSE,FALSE,10.547428,FALSE,0,TRUE,87.868866,,0,-84.296875,2,85,-230.65915,8.7948265,TRUE,0,0,126.095924,0,"56,044,247",85,FALSE,85,0,,-9.916839,10.547428,FALSE,FALSE,FALSE,-6.213987,"12,784",0,"363,269",,13:48.9,,,,,5,5,5,5
13:49.3,"363,270",FALSE,FALSE,10.556599,FALSE,0,TRUE,84.90498,,0,-77.89634,2,85,-237.70403,8.801724,TRUE,0,0,128.8269,0,"56,044,285",85,FALSE,85,0,,-13.559921,10.556599,FALSE,FALSE,FALSE,-6.727786,"12,784",0,"363,270",,13:49.9,,,,,5,5,5,5
13:50.3,"363,271",FALSE,FALSE,10.566217,FALSE,0,TRUE,81.42668,,0,-70.21761,2,85,-246.07939,8.808305,TRUE,0,0,130.94777,0,"56,044,322",85,FALSE,85,0,,-16.680937,10.566217,FALSE,FALSE,FALSE,-6.82874,"12,784",0,"363,271",,13:50.9,,,,,5,5,5,5
13:51.3,"363,272",FALSE,FALSE,10.572718,FALSE,0,TRUE,76.6712,,0,-60.418335,2,85,-256.7863,8.812361,TRUE,0,0,132.51611,0,"56,044,360",85,FALSE,85,0,,-19.199348,10.572718,FALSE,FALSE,FALSE,-5.7628026,"12,784",0,"363,272",,13:51.9,,,,,5,5,5,5
13:52.3,"363,273",TRUE,FALSE,10.576275,FALSE,0,TRUE,71.546425,,0,-51.782024,2,85,-266.4057,8.814421,TRUE,0,0,133.15048,0,"56,044,397",85,FALSE,85,0,,-20.301369,10.576275,TRUE,FALSE,FALSE,-3.3510098,"12,784",0,"363,273",,13:52.9,,,,,5,5,5,5
13:53.4,"363,274",FALSE,FALSE,10.577129,FALSE,0,TRUE,63.680904,,0,-42.41032,2,85,-277.39645,8.814935,TRUE,0,0,133.20499,0,"56,044,435",85,TRUE,85,0,,-20.360565,10.577129,FALSE,FALSE,FALSE,1.9025922,"12,784",0,"363,274",,13:54.0,,,,,5,5,5,5
13:54.4,"363,275",FALSE,FALSE,10.580494,FALSE,0,TRUE,52.52813,,0,-34.421932,2,85,-287.9399,8.81699,TRUE,0,0,132.46524,0,"56,044,473",85,FALSE,85,0,,-19.148829,10.580494,FALSE,FALSE,FALSE,10.817181,"12,784",0,"363,275",,13:55.0,,,,,5,5,5,5
13:55.4,"363,276",FALSE,FALSE,10.586784,FALSE,0,TRUE,36.135937,,0,-28.448769,2,85,-298.28973,8.820962,TRUE,0,0,130.86098,0,"56,044,514",85,FALSE,85,0,,-16.608112,10.586784,FALSE,FALSE,FALSE,25.077148,"12,784",0,"363,276",,13:56.0,,,,,5,5,5,5
13:56.4,"363,277",FALSE,FALSE,10.595333,FALSE,0,TRUE,20.990923,,0,-26.079994,2,85,-305.55035,8.826748,TRUE,0,0,128.95328,0,"56,044,548",85,FALSE,85,0,,-13.806695,10.595333,FALSE,FALSE,FALSE,38.66922,"12,784",0,"363,277",,13:57.0,,,,,5,5,5,5
13:57.4,"363,278",FALSE,FALSE,10.604885,FALSE,0,TRUE,5.8866725,,0,-25.582972,2,85,-312.07895,8.833846,TRUE,0,0,126.39772,0,"56,044,583",85,FALSE,85,0,,-10.368098,10.604885,FALSE,FALSE,FALSE,52.28705,"12,784",0,"363,278",,13:58.0,,,,,5,5,5,5
13:58.4,"363,279",FALSE,FALSE,10.611267,FALSE,0,TRUE,-3.251197,,0,-26.023817,2,85,-316.04196,8.838961,TRUE,0,0,124.28631,0,"56,044,609",85,FALSE,85,0,,-7.7417154,10.611267,FALSE,TRUE,FALSE,60.468464,"12,784",0,"363,279",,13:59.0,,,,,5,5,5,5
13:59.4,"363,280",FALSE,FALSE,10.614101,FALSE,0,TRUE,-5.3699145,,0,-26.200851,2,85,-316.981,8.841327,TRUE,0,0,123.70419,0,"56,044,615",85,FALSE,85,0,,-7.0507965,10.614101,FALSE,FALSE,FALSE,62.35432,"12,784",0,"363,280",,14:00.0,,,,,5,5,5,5
14:00.4,"363,281",FALSE,FALSE,10.614243,FALSE,0,TRUE,-5.4948406,,0,-26.15437,2,85,-317.03348,8.8414545,TRUE,0,0,123.63514,0,"56,044,616",85,FALSE,85,0,,-7.012759,10.614243,FALSE,FALSE,FALSE,62.45853,"12,784",0,"363,281",,14:01.0,,,,,5,5,5,5
14:01.4,"363,282",FALSE,FALSE,10.615328,FALSE,0,TRUE,-5.7323747,,0,-25.018267,2,85,-317.03348,8.843035,TRUE,0,0,122.94744,0,"56,044,616",85,FALSE,85,0,,-7.4805217,10.615328,FALSE,FALSE,FALSE,62.73164,"12,784",0,"363,282",,14:02.0,,,,,5,5,5,5
14:02.4,"363,283",TRUE,FALSE,10.619055,FALSE,0,TRUE,-6.7462034,,0,-21.102373,2,85,-317.03464,8.849457,TRUE,0,0,120.43865,0,"56,044,616",85,FALSE,85,0,,-8.911852,10.619055,FALSE,FALSE,FALSE,63.836357,"12,784",0,"363,283",,14:02.9,,,,,5,5,5,5
